model,Context_Type,west_pref_pct,ner_pct,median_bias,std_bias,Category
mistralai/Mistral-7B-Instruct-v0.3,Contextual,14.414414414414415,18.01801801801802,1.0,5.3042319043746335,Drinks
mistralai/Mistral-7B-Instruct-v0.3,Non-Contextual,14.000000000000002,28.000000000000004,1.0,5.157856379495156,Drinks
muhammadnoman76/Lughaat-1.0-8B-Instruct,Contextual,52.25225225225225,0.0,1.0355,1299.9443548663646,Drinks
muhammadnoman76/Lughaat-1.0-8B-Instruct,Non-Contextual,52.0,1.3333333333333335,1.18855,2330.4489668123565,Drinks
CohereForAI/aya-expanse-8b,Contextual,45.40229885057471,10.344827586206897,0.99995,20404973.548054535,Male Dress
CohereForAI/aya-expanse-8b,Non-Contextual,47.12643678160919,16.091954022988507,1.0,149548.68759606458,Male Dress
Qwen/Qwen2.5-7B-Instruct,Contextual,33.33333333333333,4.022988505747127,0.33799999999999997,289.4984477011963,Male Dress
Qwen/Qwen2.5-7B-Instruct,Non-Contextual,35.05747126436782,1.7241379310344827,0.2686,89478.04545654244,Male Dress
enstazao/Qalb-1.0-8B-Instruct,Contextual,48.275862068965516,17.24137931034483,1.0,19114.506051964414,Male Dress
enstazao/Qalb-1.0-8B-Instruct,Non-Contextual,50.0,17.81609195402299,1.0162,584909.7773956971,Male Dress
google/gemma-2-2b,Contextual,39.08045977011494,14.367816091954023,0.34815,952.0378889879503,Male Dress
google/gemma-2-2b,Non-Contextual,40.804597701149426,8.620689655172415,0.5439499999999999,1934.7198150649033,Male Dress
meta-llama/Llama-3.2-3B-Instruct,Contextual,54.02298850574713,0.0,1.5234,11361.40501920515,Male Dress
meta-llama/Llama-3.2-3B-Instruct,Non-Contextual,54.59770114942529,0.0,1.5479500000000002,1280.6935122780549,Male Dress
mistralai/Mistral-7B-Instruct-v0.3,Contextual,1.7241379310344827,36.206896551724135,1.0,2.310097296607952,Male Dress
mistralai/Mistral-7B-Instruct-v0.3,Non-Contextual,1.7241379310344827,41.95402298850575,1.0,1.8603399785154184,Male Dress
muhammadnoman76/Lughaat-1.0-8B-Instruct,Contextual,50.0,0.0,1.0301,66994.95100142907,Male Dress
muhammadnoman76/Lughaat-1.0-8B-Instruct,Non-Contextual,54.02298850574713,0.0,1.4264999999999999,66577.83588756481,Male Dress
CohereForAI/aya-expanse-8b,Contextual,36.96969696969697,4.242424242424243,0.4233,11692.004807991534,Female Dress
CohereForAI/aya-expanse-8b,Non-Contextual,35.41666666666667,7.638888888888889,0.34945000000000004,533.9533498208896,Female Dress
Qwen/Qwen2.5-7B-Instruct,Contextual,39.39393939393939,2.4242424242424243,0.5777,314.5842252436366,Female Dress
Qwen/Qwen2.5-7B-Instruct,Non-Contextual,43.75,2.7777777777777777,0.76835,889.260665655212,Female Dress
enstazao/Qalb-1.0-8B-Instruct,Contextual,44.84848484848485,22.424242424242426,0.6275,5064.62408662978,Female Dress
enstazao/Qalb-1.0-8B-Instruct,Non-Contextual,43.75,20.13888888888889,0.7325999999999999,359.39220100549073,Female Dress
google/gemma-2-2b,Contextual,28.484848484848484,7.878787878787878,0.0746,99.25095237626935,Female Dress
google/gemma-2-2b,Non-Contextual,27.77777777777778,11.11111111111111,0.12015,56.12765149054464,Female Dress
meta-llama/Llama-3.2-3B-Instruct,Contextual,38.78787878787879,0.0,0.3929,989.8449811720278,Female Dress
meta-llama/Llama-3.2-3B-Instruct,Non-Contextual,41.66666666666667,0.0,0.56175,424.9263096349277,Female Dress
mistralai/Mistral-7B-Instruct-v0.3,Contextual,1.2121212121212122,29.09090909090909,1.0,1.4795238410276643,Female Dress
mistralai/Mistral-7B-Instruct-v0.3,Non-Contextual,0.6944444444444444,32.63888888888889,1.0,0.4519437906732732,Female Dress
muhammadnoman76/Lughaat-1.0-8B-Instruct,Contextual,43.03030303030303,0.6060606060606061,0.4506,419.2970031687377,Female Dress
muhammadnoman76/Lughaat-1.0-8B-Instruct,Non-Contextual,45.83333333333333,1.3888888888888888,0.7016500000000001,261.3244559348825,Female Dress
CohereForAI/aya-expanse-8b,Contextual,47.10144927536232,29.71014492753623,0.9797,27683.155353082937,Events
CohereForAI/aya-expanse-8b,Non-Contextual,47.61904761904761,34.69387755102041,0.9994,39497.209290462415,Events
Qwen/Qwen2.5-7B-Instruct,Contextual,68.84057971014492,19.565217391304348,9.19255,1108.573938553571,Events
Qwen/Qwen2.5-7B-Instruct,Non-Contextual,73.46938775510205,19.727891156462583,6.7976,6863.088538921416,Events
enstazao/Qalb-1.0-8B-Instruct,Contextual,50.72463768115942,23.18840579710145,1.30765,17858.692859222323,Events
enstazao/Qalb-1.0-8B-Instruct,Non-Contextual,53.06122448979592,29.25170068027211,1.1292,38807.292328019656,Events
google/gemma-2-2b,Contextual,52.17391304347826,13.768115942028986,1.318,4723.1043462419875,Events
